⊢⊙⊡><∈⊤⊥∋⊞⋈⊣	B
⊢⊙∈⊤<∋⋈∈⊥>∋⊞⊡⋈⊣	B
⊢>⊙∈⊤>⊤⊞∋⋈⊙⊤⊡⊣	B
⊢⊣>∈⊤⊥⊞∋<⋈⊙⊡	B
⊢>∈⊤⋈⊥⋈⊞∋⊙<⊡⊣	B
⊢⊣⊙∈⊞>∋⋈⊤⊡⊙	B
⊢⊙>∈⊤>⊥∈⊤>⊥<∋⊞⋈⊡∋⊙⊣	B
⊢⊙⋈∈⊤>⋈>⋈>⋈>⋈>∋⊙<⊤⊡⊣	T
⊢∈⊙>⋈>⊙⊤∋⊡⊣	T
⊢⊙∈⊤<⊥>∋⋈⊞∈⊤⊣⊡⊙	B
⊢>⋈⊙∈>⊤∋<⊥∋⊞⋈⊙⊡⊣	B
⊢⊙>⊡∈⊤⋈⊞⊥<∋⊙⊡⊣	B
⊢⊙>∈⊤⊥∋⊞⊡⊙	B
⊢⊣>∈⊤⋈⊙⊥<⋈⊞∋⊡⊙	B
⊙<∈>∋⋈⊡⊙	T
⊙<∈>∋⋈⊡⊙	T
⊢>∈⊤>∋∈⊥<∋⊞⋈⊙⊡⊡⋈⊙⊣	B
⊢⊣>>⊙∈⊤>⋈⊡<⊥⊞∋⊙>>∈⊤⋈⊡<⊥⊞∋⊙>>∈⊤⋈⊡<⊥⊞∋⊙⋈⊡⊞⊣	B
⊢⊣>⋈⊙∈⊤>⋈⊥<⋈∋⊞<⊡⊡<⊣⊙	B
⊙<∈>∋⋈⊡⊙	T
⊢⊣>⋈⊙∈>⊤<⊥∋⊤⊡⋈⊙⊞<⋈>⊙⊡⊣	B
⊙<∈>∋⋈⊡⊙	T
⊢⊣>⋈∈⊤⋈⊡<⊥⋈⊞<∈⊤⋈⊙∋⊡⊣	B
⊢>>⋈>>∈∈⊤⊤⊤⊤⊥⊥⊥⊥∋∋⊙⊙⊞⊡⊡⊡⊡<⋈⊙⊣	B
⊢>∈>>∈∈⊞⊥⊤⋈⋈⋈∋⊙<⊡⊣	B
⊢⊣>∈⊥<⊡⊤>⊡⊞⋈⊙∋⋈⊙⊡⊣	B
⊢⊣><⋈⊙∈>⊤<⊥∋⊞⋈⊙⊡	B
⊙<∈>∋⋈⊡⊙	T
⊢⊙>⋈∈⊤>⊥<⊞∋⊡⊣	B
⊢⊣>⋈⊙∈⊤<⊥∋⊡⋈⊞⊙⊡>⋈⊤⊡<⊥∋⊡⊣	B
